tconst	primaryTitle	originalTitle	startYear	runtimeMinutes	genres	averageRating	numVotes
tt0018505	Bed and Sofa	Tretya meshchanskaya	1927	86	Comedy,Drama	7.3	1267
tt0018515	Two Arabian Knights	Two Arabian Knights	1927	92	Adventure,Comedy,Romance	6.7	1054
tt0018526	Underworld	Underworld	1927	80	Crime,Drama,Film-Noir	7.5	3223
tt0018528	The Unknown	The Unknown	1927	63	Drama,Horror,Romance	7.7	8297
tt0018578	Wings	Wings	1927	144	Action,Drama,Romance	7.6	13460
tt0018618	Across to Singapore	Across to Singapore	1928	85	Crime,Drama,Romance	6.2	1162
tt0018684	Beggars of Life	Beggars of Life	1928	84	Adventure,Crime,Drama	7.5	1235
tt0018737	Pandora's Box	Die Büchse der Pandora	1929	109	Crime,Drama,Romance	7.8	11178
tt0018742	The Cameraman	The Cameraman	1928	76	Comedy,Drama,Family	8.0	12171
tt0018756	Champagne	Champagne	1928	86	Comedy	5.4	2481
tt0018770	The Fall of the House of Usher	La chute de la maison Usher	1928	63	Drama,Fantasy,Horror	7.3	4160
tt0018773	The Circus	The Circus	1928	72	Comedy,Family,Romance	8.1	34551
tt0018806	The Crowd	The Crowd	1928	98	Drama,Music,Romance	8.1	8659
tt0018839	The Docks of New York	The Docks of New York	1928	76	Crime,Drama,Film-Noir	7.5	4715
tt0018876	The Farmer's Wife	The Farmer's Wife	1928	100	Comedy,Drama,Romance	5.8	2958
tt0019071	The Last Command	The Last Command	1928	88	Drama,History,Romance	8.0	4121
tt0019074	Laugh, Clown, Laugh	Laugh, Clown, Laugh	1928	73	Drama	7.5	2022
tt0019109	Lonesome	Lonesome	1928	69	Comedy,Drama,Romance	7.8	2404
tt0019130	The Man Who Laughs	The Man Who Laughs	1928	110	Drama,Horror,Mystery	7.7	7319
tt0019195	The Mysterious Lady	The Mysterious Lady	1928	96	Drama,Romance	7.2	1406
tt0019237	Our Dancing Daughters	Our Dancing Daughters	1928	85	Drama	6.7	1879
tt0019254	The Passion of Joan of Arc	La passion de Jeanne d'Arc	1928	110	Biography,Drama,History	8.2	56531
tt0019258	The Patsy	The Patsy	1928	78	Comedy,Drama,Romance	7.5	2685
tt0019286	Storm Over Asia	Potomok Chingis-Khana	1928	127	Drama,War	7.0	2201
tt0019304	The Racket	The Racket	1928	84	Crime,Drama,Film-Noir	6.7	1382
tt0019344	Sadie Thompson	Sadie Thompson	1928	97	Drama	7.2	2740
tt0019379	Show People	Show People	1928	83	Comedy,Romance	7.6	3871
tt0019400	The Smart Set	The Smart Set	1928	80	Comedy,Romance,Sport	6.4	1027
tt0019412	Speedy	Speedy	1928	85	Action,Comedy,Family	7.6	3967
tt0019415	Spies	Spione	1928	150	Romance,Thriller	7.5	3727
